item_id,item_name,section_name,subject,grade,session,pattern,reason,in_chunk
7688207641,Quarter 3 Quiz 3,5th Period,History,Grade 7,2024-25,bad-merge-name-reuse,Quarter 3 Quiz 3 5th Period 2024-25: two distinct 5q quizzes 3 weeks apart share subject_id; 23 same students,n
7688267137,Quarter 3 Quiz 2,3rd Period,History,Grade 6,2024-25,bad-merge-name-reuse,Quarter 3 Quiz 2 3rd Period 2024-25: two distinct 5q quizzes 1 week apart share subject_id; 25 same students,n
7700976328,Quarter 3 Quiz 2,3rd Period,History,Grade 6,2024-25,bad-merge-name-reuse,Quarter 3 Quiz 2 3rd Period 2024-25: second distinct quiz under same subject_id,n
7722457831,Quarter 3 Quiz 3,5th Period,History,Grade 7,2024-25,bad-merge-name-reuse,Quarter 3 Quiz 3 5th Period 2024-25: second distinct quiz under same subject_id,n
8016559819,Quiz 2,2nd Period,Civics,Grade 8,2025-26,bad-merge-name-reuse,"Quiz 2 2nd Period Civics G8: 3 distinct quizzes (5q Sep, 5q Nov, 10q) share subject_id 09158d65; merged report pools them; 24-26 same students",n
8016572178,Quiz 2,3rd Period,History,Grade 6,2025-26,bad-merge-name-reuse,Quiz 2 3rd Period History G6: 2 distinct 5q quizzes (Sep 5 vs Nov) share subject_id cbd4764f; 35/37 same students,n
8030688955,Quiz 3,3rd Period,History,Grade 6,2025-26,bad-merge-name-reuse,Quiz 3 3rd Period History G6: Sep 12 5q quiz shares subject_id with Dec 5 5q quiz; 34 same students,n
8030945538,Quiz 3,5th Period,History,Grade 7,2025-26,bad-merge-name-reuse,Quiz 3 5th Period History G7: Sep 5q quiz shares subject_id with Q3 19q quiz; 19 same students,n
8126215170,Quiz 2,2nd Period,Civics,Grade 8,2025-26,bad-merge-name-reuse,"Quiz 2 2nd Period Civics G8: 3 distinct quizzes share subject_id; 0 question overlap, high user overlap",y
8126265514,Quiz 2,3rd Period,History,Grade 6,2025-26,bad-merge-name-reuse,Quiz 2 3rd Period History G6: second distinct quiz under same subject_id,y
8126292235,Quiz 2,5th Period,History,Grade 7,2025-26,bad-merge-name-reuse,Quiz 2 5th Period History G7: 5q quiz shares subject_id 5a9fa1a8 with later 10q quiz; cube q1-5 double-counted (32-44 vs ~24 students),y
8149807504,Quiz 3,3rd Period,History,Grade 6,2025-26,bad-merge-name-reuse,Quiz 3 3rd Period History G6: Dec 5 quiz merged with Sep 12 quiz of same name,y
8257435517,Quiz 2,2nd Period,Civics,Grade 8,2025-26,bad-merge-name-reuse,Quiz 2 2nd Period Civics G8: 10q quiz merged with two earlier 5q quizzes under one subject_id,y
8257448535,Quiz 2,5th Period,History,Grade 7,2025-26,bad-merge-name-reuse,Quiz 2 5th Period History G7: 10q quiz merged with earlier 5q quiz,y
8264918425,Quiz 3,5th Period,History,Grade 7,2025-26,bad-merge-name-reuse,Quiz 3 5th Period History G7: 19q SOC.8-standards quiz merged with Sep 5q quiz,y
7803821108,Unit 2 Benchmark Test: The Engineering Process,Rossi,Science,Grade 3,2024-25,bad-merge-partial-retake,"Unit 2 Benchmark Rossi Sci G3 2024-25: two copies same day, 5 of 8/15 students in both; 5 students double-counted in merged report",n
7815809064,Unit 2 Benchmark Test: The Engineering Process,Rossi,Science,Grade 3,2024-25,bad-merge-partial-retake,Unit 2 Benchmark Rossi Sci G3 2024-25: second copy,n
7893463050,Module 2 Test,4th Period,Math,Grade 6,2025-26,bad-merge-readminister,"Module 2 Test 4th Period Math G6: two copies Sep 10/11, 18 of 18-19 students in both; double-count",n
7893465110,Module 1 Test,2nd Period,Math,Grade 7,2025-26,bad-merge-readminister,"Module 1 Test 2nd Period Math G7: two item copies 3 days apart, same 27 students, 0 shared question_ids; merged report double-counts every student",n
7976307449,Module 2 Test,5th Period,Math,Grade 6,2025-26,bad-merge-readminister,"Module 2 Test 5th Period Math G6: two copies Sep 10/11, all 19 students in both; double-count",n
8020987135,Module 1 Test,2nd Period,Math,Grade 7,2025-26,bad-merge-readminister,Module 1 Test 2nd Period Math G7: second copy,n
8029075718,Module 2 Test,4th Period,Math,Grade 6,2025-26,bad-merge-readminister,Module 2 Test 4th Period Math G6: second copy,n
8029075977,Module 2 Test,5th Period,Math,Grade 6,2025-26,bad-merge-readminister,Module 2 Test 5th Period Math G6: second copy,n
7887639164,Chapter 7 Test,3rd Period,Algebra,Grade 8,2025-26,gains-admin-instructor,GAINS Admin account listed in section_instructors (teacher-facing label),n
7887639166,Chapter 8 Test,3rd Period,Algebra,Grade 8,2025-26,gains-admin-instructor,GAINS Admin account listed in section_instructors (teacher-facing label),n
7892346403,Finding Courage Unit Test,2nd Period,ELA,Grade 6,2025-26,gains-admin-instructor,GAINS Admin account listed in section_instructors (teacher-facing label),n
7892346407,from Pax Selection Test,2nd Period,ELA,Grade 6,2025-26,gains-admin-instructor,GAINS Admin account listed in section_instructors (teacher-facing label),n
7892346408,Zoo Selection Test,2nd Period,ELA,Grade 6,2025-26,gains-admin-instructor,GAINS Admin account listed in section_instructors (teacher-facing label),n
7892346409,from Animal Snoops: The Wondrous World of Wildlife Spies Selection Test,2nd Period,ELA,Grade 6,2025-26,gains-admin-instructor,GAINS Admin account listed in section_instructors (teacher-facing label),n
7892346410,Animal Wisdom / The Last Wolf Selection Test,2nd Period,ELA,Grade 6,2025-26,gains-admin-instructor,GAINS Admin account listed in section_instructors (teacher-facing label),n
7892346411,Wild Animals Aren?t Pets / Let People Own Exotic Animals Selection Test,2nd Period,ELA,Grade 6,2025-26,gains-admin-instructor,GAINS Admin account listed in section_instructors (teacher-facing label),n
7892346412,Through an Animal?s Eyes Unit Test,2nd Period,ELA,Grade 8,2025-26,gains-admin-instructor,GAINS Admin account listed in section_instructors (teacher-facing label),n
8029075865,Module 11 Test,4th Period,Math,Grade 6,2025-26,gains-admin-instructor,GAINS Admin account listed in section_instructors (teacher-facing label),n
8029075898,Module 13 Test,4th Period,Math,Grade 6,2025-26,gains-admin-instructor,GAINS Admin account listed in section_instructors (teacher-facing label),n
8257707783,Module 12 Test,4th Period,Math,Grade 6,2025-26,gains-admin-instructor,GAINS Admin account listed in section_instructors (teacher-facing label),y
8292007827,Module 14 Test,4th Period,Math,Grade 6,2025-26,gains-admin-instructor,GAINS Admin account listed in section_instructors (teacher-facing label),y
8325672466,Module 15 Test,4th Period,Math,Grade 6,2025-26,gains-admin-instructor,GAINS Admin account listed in section_instructors (teacher-facing label),y
8339203424,POP Quiz #1,4th Period,Math,Grade 6,2025-26,gains-admin-instructor,GAINS Admin account listed in section_instructors (teacher-facing label),n
8343031143,Chapter 9 Mid-Chapter Quiz,3rd Period,Algebra,Grade 8,2025-26,gains-admin-instructor,GAINS Admin account listed in section_instructors (teacher-facing label),n
8359960427,Chapter 9 Test,3rd Period,Algebra,Grade 8,2025-26,gains-admin-instructor,GAINS Admin account listed in section_instructors (teacher-facing label),n
8374535217,Chapter 10 Test,3rd Period,Algebra,Grade 8,2025-26,gains-admin-instructor,GAINS Admin account listed in section_instructors (teacher-facing label),n
8112140343,Chapter 16 Part 1,Bennet,Math,Grade K,2025-26,naming-split,"Chapter 16 Part 1 (Bennet) vs Chapter 16.1 (Watkins/Tsakonas): same K Math test, name variant creates separate subject_id => report split from sibling sections",y
8112622324,Chapter 16.1,Watkins,Math,Grade K,2025-26,naming-split,Chapter 16.1 report only shows Watkins+Tsakonas; Bennet twin lives in separate Chapter 16 Part 1 report,y
8113075929,Chapter 16.1,Tsakonas,Math,Grade K,2025-26,naming-split,Chapter 16.1 (Tsakonas) — sibling of split,y
8033012840,Module 1 Grammar Review,Almendinger,ELA,Grade 1,2025-26,no-standards-mapped,No standards on any fact row: assessment invisible to standards reports (absence != misfiling; source alignment gap),y
8033013036,Module 1 Phonics Review,Almendinger,ELA,Grade 1,2025-26,no-standards-mapped,No standards on any fact row: assessment invisible to standards reports (absence != misfiling; source alignment gap),y
