item_id,item_name,section_name,subject,grade,assessment_type,session,issue,detail,status
7334633906,"Now You See It, Now You Don't: Weekly Assessment: Week 1",Reeder,ELA,Grade 1,Lesson  Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7334677961,Module Assessment: Once Upon a Time,Agostino,ELA,Grade 2,Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7334678220,Everyone Has a Story: Weekly Assessment: Week 2,Agostino,ELA,Grade 2,Lesson  Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7334739781,Module Assessment: Use Your Words - 10/21/24,Rossi,ELA,Grade 3,Unit-Chap  Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7334740354,Teamwork: Weekly Assessment: Week 1,Rossi,ELA,Grade 3,Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7334741824,Module Assessment: Stories on Stage,Vaughn,ELA,Grade 3,Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7334764745,Art Everywhere: Weekly Assessment: Week 1,Figueredo,ELA,Grade 4,Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7337889366,Project Earth: Weekly Assessment: Week 1,Birdwell,ELA,Grade 5,Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7337899008,Happy Healthy Me: Weekly Assessment: Week 3,Bennet,ELA,Grade K,Lesson  Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7338364921,Unit 8 Benchmark Test: Living Things and  Their Parents,Almendinger,Science,Grade 1,Unit-Chap  Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7338364925,Unit 9 Benchmark Test: Plant and Animal Needs,Almendinger,Science,Grade 1,Unit-Chap  Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7338364983,Unit 4 Benchmark Test: Earth?s Resources,Reeder,Science,Grade 1,Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7338394693,Unit 4 Benchmark Test: Weather,Lenhart,Science,Grade 2,Unit-Chap  Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7338394737,Unit 9 Benchmark Test: The Human Body,Lenhart,Science,Grade 2,Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7466000203,Unit 4 Benchmark Test: Day and Night,Bennet,Science,Grade K,Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7496090393,Chapter 11,Rossi,Math,Grade 3,Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7594902377,Chapter 12,Birdwell,Math,Grade 5,Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7661450418,Chapter 9,Sedlak,Math,Grade 1,Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
7661452061,Chapter 14,Almendinger,Math,Grade 1,Assessments,2024-25,cube-drift,dim_item.subject_id <> fact.subject_id: item listed under one assessment_type bucket while its data sits in the other; cube rows carry contradictory type text,CONFIRMED
