school,rule,item_id,item_name,section_name,assigned_subject,assigned_grade,session,fact_rows,students,note
Athenian Academy of Technology and the Arts,mojibake_item_name,7892348531,Not My Bones / from Fortune?s Bones Selection Test,4th Period,ELA,Grade 8,2025-26,0,0,"mid-word ""?"" = lost apostrophe/en-dash from source export encoding"
Athenian Academy of Technology and the Arts,mojibake_item_name,7338194137,Not My Bones / from Fortune?s Bones Selection Test,4th Period,ELA,Grade 8,2024-25,0,0,"mid-word ""?"" = lost apostrophe/en-dash from source export encoding"
Athenian Academy of Technology and the Arts,mojibake_item_name,7892346412,Through an Animal?s Eyes Unit Test,2nd Period,ELA,Grade 8,2025-26,0,0,"mid-word ""?"" = lost apostrophe/en-dash from source export encoding"
Athenian Academy of Technology and the Arts,mojibake_item_name,7797124730,Through an Animal?s Eyes Unit Test,2nd Period,ELA,Grade 6,2024-25,0,0,"mid-word ""?"" = lost apostrophe/en-dash from source export encoding"
Athenian Academy of Technology and the Arts,mojibake_item_name,7892349076,Unit 4 Benchmark Test: Earth?s Resources,Almendinger,Science,Grade 1,2025-26,0,0,"mid-word ""?"" = lost apostrophe/en-dash from source export encoding"
Athenian Academy of Technology and the Arts,mojibake_item_name,7892349379,Unit 4 Benchmark Test: Earth?s Resources,Sedlak,Science,Grade 1,2025-26,0,0,"mid-word ""?"" = lost apostrophe/en-dash from source export encoding"
Athenian Academy of Technology and the Arts,mojibake_item_name,7338365111,Unit 4 Benchmark Test: Earth?s Resources,Sedlak,Science,Grade 1,2024-25,0,0,"mid-word ""?"" = lost apostrophe/en-dash from source export encoding"
Athenian Academy of Technology and the Arts,mojibake_item_name,7338364983,Unit 4 Benchmark Test: Earth?s Resources,Reeder,Science,Grade 1,2024-25,0,0,"mid-word ""?"" = lost apostrophe/en-dash from source export encoding"
Athenian Academy of Technology and the Arts,mojibake_item_name,7338364890,Unit 4 Benchmark Test: Earth?s Resources,Almendinger,Science,Grade 1,2024-25,0,0,"mid-word ""?"" = lost apostrophe/en-dash from source export encoding"
Athenian Academy of Technology and the Arts,mojibake_item_name,7892349226,Unit 4 Benchmark Test: Earth?s Resources,Reeder,Science,Grade 1,2025-26,0,0,"mid-word ""?"" = lost apostrophe/en-dash from source export encoding"
Athenian Academy of Technology and the Arts,mojibake_item_name,7892346388,"What?s so Funny, Mr. Scieszka? Selection Test",2nd Period,ELA,Grade 6,2025-26,0,0,"mid-word ""?"" = lost apostrophe/en-dash from source export encoding"
Athenian Academy of Technology and the Arts,mojibake_item_name,7338165131,"What?s so Funny, Mr. Scieszka? Selection Test",2nd Period,ELA,Grade 6,2024-25,0,0,"mid-word ""?"" = lost apostrophe/en-dash from source export encoding"
Athenian Academy of Technology and the Arts,mojibake_item_name,7892346411,Wild Animals Aren?t Pets / Let People Own Exotic Animals Selection Test,2nd Period,ELA,Grade 6,2025-26,0,0,"mid-word ""?"" = lost apostrophe/en-dash from source export encoding"
Athenian Academy of Technology and the Arts,mojibake_item_name,7797124721,Wild Animals Aren?t Pets / Let People Own Exotic Animals Selection Test,2nd Period,ELA,Grade 6,2024-25,0,0,"mid-word ""?"" = lost apostrophe/en-dash from source export encoding"
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:1bf8f84ef6b0172f552d019c9f165db89140d0eaf77def4d78ca77beb470cf4b,"Above, Below, and Beyond: Weekly Assessment: Week 2","",ELA,Grade 5,2024-25,378,18,dim_subject row has NO dim_item; identical-label twin bbbfbde3e56d53380d2085df402993df261dd757577933b900f52e34dafd5563 holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:ce112b94839115bf5f5ea9c0ccdb0e83588507ff07804cd1c6d27da63bb98f3e,Art Everywhere: Weekly Assessment: Week 1,"",ELA,Grade 4,2024-25,374,22,dim_subject row has NO dim_item; identical-label twin c53f62a3f4659c38761fa2187dcf1ca3bc3102ad7bbbe7c457d2401f23b84ec2 holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:9e55d073bd5f2ed0dcc7f4d9846afa533abc92e6c2fc0f7df2bfeeb3c0af92e4,Chapter 11,"",Math,Grade 3,2024-25,505,20,dim_subject row has NO dim_item; identical-label twin 35e7d027ee48ae212f79190d1093765179e51d1399d7e437a23c9de21803fb51 holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:a69348aac1d05567364528ab86ae605c5606d396047eee6555f1ff3c2e43a113,Chapter 12,"",Math,Grade 5,2024-25,656,20,dim_subject row has NO dim_item; identical-label twin 66e910e317cc42a7da6fe50bb65e041d6b5507285d97c31a6997de77c5472ab2 holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:e93f836775458de9c65b5631901b73431a6fe43315a5aa090f429f05f53811b6,Chapter 12,"",Math,Grade K,2024-25,9,2,dim_subject row has NO dim_item; identical-label twin 9dfd47961f78cda8d9695c9dd3a1a530c3d81b8ef65c5fb5b802bd221cefad14 holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:85e6602009435ef89f61b7b384216b352a250b69d159a2b4b2002dada6759a49,Chapter 14,"",Math,Grade 1,2024-25,19,1,dim_subject row has NO dim_item; identical-label twin 171c7d83022de61f53560185794df47d9981decd2f6a2efe5480a2518bef6f67 holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:7d05f8dffe7639f2bdaaf1852c81fa54dbcd29ae28c99f36950bcacb837fc861,Chapter 16 Temperature and Time,"",Math,Grade 4,2024-25,504,21,dim_subject row has NO dim_item; identical-label twin 73102ff6b925cd3125aaad774f78573109a7507396c811501827f6dea302eb29 holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
Athenian Academy of Technology and the Arts,orphan_subject_split_twin,subject_id:4f641620883422f8b7eefe3544971792e42df55612b731093714e956b9d91880,Chapter 9,"",Math,Grade 1,2024-25,425,17,dim_subject row has NO dim_item; identical-label twin 8d4ab7d557f51804b63fca947048fabc6daf5cf2f6d5702d34454e22745f66d1 holds the items; fact rows split across both subject_ids -> split roster in subject_id-keyed reports
