item_id,item_name,subject,grade,session,students,category,reason
7337899755,Happy Healthy Me: Weekly Assessment: Week 1,ELA,Grade 1,2024-25,19,assessment-type-variant,stray assessment_type 'Test' beside canonical 'Lesson  Assessments' (double space) -> near-empty duplicate slicer bucket (found while auditing chunk; item outside chunk range)
7797146594,Inspired by Nature Unit Test,ELA,Grade 7,2024-25,30,assessment-type-variant,stray assessment_type 'Lesson Assessments' beside canonical 'Lesson  Assessments' (double space) -> near-empty duplicate slicer bucket (found while auditing chunk; item outside chunk range)
8356554433,Time,Math,Grade K,2025-26,23,junk-standard-literal,"fact.standard = literal 'Social Studies' (source Schoology export label, no code); not in dim_standard; alignment dropped in cube_standard_summary (total_standards=0); Grade K Math item aligned to a Social Studies set"
8357154937,Time,Math,Grade K,2025-26,21,junk-standard-literal,"fact.standard = literal 'Social Studies' (source Schoology export label, no code); not in dim_standard; alignment dropped in cube_standard_summary (total_standards=0); Grade K Math item aligned to a Social Studies set"
8357183954,Time,Math,Grade K,2025-26,20,junk-standard-literal,"fact.standard = literal 'Social Studies' (source Schoology export label, no code); not in dim_standard; alignment dropped in cube_standard_summary (total_standards=0); Grade K Math item aligned to a Social Studies set"
8341160826,Unit 9 Lesson 1 Quiz,Science,Grade 1,2025-26,19,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8341769546,"Weekly Math Quiz #2 (adding and subtracting mixed numbers, adding and subtracting decimals, and division of fractions)",Math,Grade 5,2025-26,19,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8344760282,"Weekly Math Quiz #4 (add/subtract fractions with unlike denominators, plot points, identify the rule)",Math,Grade 5,2025-26,19,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8344783376,SC Quiz Week #2 FSA Review,Science,Grade 5,2025-26,19,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8345033619,Unit 9 Lesson 3 Quiz,Science,Grade 1,2025-26,21,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8346484076,Classwork End of Year Test,Math,Grade 1,2025-26,17,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8346485244,Unit 9 Lesson 3 Quiz,Science,Grade 1,2025-26,18,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8348080515,Module 8 Week 1 Vocabulary Quiz,ELA,Grade 2,2025-26,17,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8350374285,Unit 9 Lesson 3 Quiz,Science,Grade 1,2025-26,20,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8351403526,"Weekly Math Quiz #3 (order of operations, volume, area, perimeter, round decimals, decompose decimals, quadrilaterals, triangle)",Math,Grade 5,2025-26,19,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8351537358,Sc Quiz Week 1 FSA Review,Science,Grade 5,2025-26,19,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8352555923,Civics Final Amendments Quiz,Civics,Grade 8,2025-26,21,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8352608363,Module 8 Week 1 Vocabulary Quiz,ELA,Grade 2,2025-26,19,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8352740777,World History Weekly Quiz,History,Grade 6,2025-26,36,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8353067732,Quarter 4 Quiz 2,History,Grade 7,2025-26,24,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8354911352,FAST STAR Reading Practice Assessment,ELA,Grade 1,2025-26,18,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
8355502810,FAST STAR Reading Practice Assessment,ELA,Grade 1,2025-26,21,standards-gap,zero standards mapped on any question (source alignment absent); item invisible in standards reports
