item_id,item_name,section_name,subject,grade,session,students,finding_id,reason
7797146594,Inspired by Nature Unit Test,3rd Period,ELA,Grade 7,2024-25,29,ATH1K-F1,"assessment_type='Lesson Assessments' (single space) vs canonical 'Lesson  Assessments' (double space); sole dim_subject row with this variant (1508 fact rows); creates orphan slicer bucket and excludes this unit test from the canonical ELA/Grade 7/Lesson-Assessments filter"
7337899755,Happy Healthy Me: Weekly Assessment: Week 1,Sedlak,ELA,Grade 1,2024-25,19,ATH1K-F1,"related (outside chunk, found via same variant scan): stray assessment_type='Test' (342 fact rows); only 5 distinct assessment_type values at Athenian and 2 are stray variants"
7803821108,Unit 2 Benchmark Test: The Engineering Process,Rossi,Science,Grade 3,2024-25,8,ATH1K-F2,"duplicate of 7815809064: same name+section+subject+grade+session, same date window (2025-05-01..05-08), 5 students took BOTH copies; teacher re-created the test in Schoology; per-item views list two identical entries splitting the class 8/15 (8+15-5=18=full class)"
7815809064,Unit 2 Benchmark Test: The Engineering Process,Rossi,Science,Grade 3,2024-25,15,ATH1K-F2,"duplicate twin of 7803821108 (see above)"
7816009210,Zoom In!: Weekly Assessment: Week 2,Tsakonas,ELA,Grade K,2024-25,1,ATH1K-F3,"1-student assessment (2025-05-01); sibling week-1/week-3 items have 16-21 students; verified NOT a session leak (date in-band) and no sibling bucket holds the remainder; renders a 1-student class report"
7816018373,Zoom In!: Weekly Assessment: Week 2,Watkins,ELA,Grade K,2024-25,2,ATH1K-F3,"2-student assessment (2025-04-29..05-02); siblings full-class; no remainder bucket found; faithful-to-source micro-participation"
7732312078,Unit 6 Lesson 3 Quiz,Almendinger,Science,Grade 1,2024-25,2,ATH1K-F3,"2-student assessment (2025-02-27..03-07) while Reeder's same-name item has 19; Almendinger's other quizzes have 16-20; no sibling bucket with remainder"
7734557500,Unit 6 Lesson 3 Quiz,Sedlak,Science,Grade 1,2024-25,3,ATH1K-F3,"3-student assessment (2025-02-27..02-28); same pattern as above"
7802303138,Chapter 8 Test,3rd Period,Algebra,Grade 8,2024-25,16,ATH1K-F4,"30 (identifier,question) pairs where 2+ standard codes share one identifier (AI.MA.912.* alias + MA.912.* base); fact carries a row per code -> cube_standard_summary SUM(points) per identifier is 2x truth (verified pattern: cube 180 vs dedup 90 on 7708642601); grade_average ratio unaffected"
7747912472,Chapter 7 Test,3rd Period,Algebra,Grade 8,2024-25,18,ATH1K-F4,"24 alias-duplicated identifier-question pairs; same 2x point-total inflation mechanism"
7801021169,HW 4/11 Chapter 8 Review,3rd Period,Algebra,Grade 8,2024-25,17,ATH1K-F4,"18 alias-duplicated identifier-question pairs"
7708642601,Chapter 6 Test,3rd Period,Algebra,Grade 8,2024-25,18,ATH1K-F4,"15 alias-duplicated pairs; VERIFIED NUMBERS: identifier 3ca92b67 cube total_possible_point=180 total_score=164 vs deduped (user,question,position) truth 90/82 — exactly 2x"
7793620187,Chapter 16,Reeder,Math,Grade 1,2024-25,19,ATH1K-F4,"14 duplicated pairs — parent/child variant: MA.1.DP.1 and MA.1.DP.1.2 both tagged and share one identifier"
7793627838,Chapter 16,Almendinger,Math,Grade 1,2024-25,17,ATH1K-F4,"14 duplicated pairs (MA.1.DP.1 + MA.1.DP.1.2 same identifier)"
7793584301,Chapter 16,Sedlak,Math,Grade 1,2024-25,18,ATH1K-F4,"14 duplicated pairs (MA.1.DP.1 + MA.1.DP.1.2 same identifier)"
7702555923,Chapter 14,Birdwell,Math,Grade 5,2024-25,19,ATH1K-F4,"10 duplicated identifier-question pairs"
7702567070,Module 10 Test,2nd Period,Math,Grade 7,2024-25,31,ATH1K-F4,"10 duplicated pairs (G.MA.912 alias + MA.912 base share identifier)"
7722564422,Chapter 7 Quiz 7.1-7.2,3rd Period,Algebra,Grade 8,2024-25,18,ATH1K-F4,"10 duplicated pairs"
7702555925,Chapter 15,Birdwell,Math,Grade 5,2024-25,20,ATH1K-F4,"2 duplicated pairs"
7887639166,Chapter 8 Test,3rd Period,Algebra,Grade 8,2025-26,23,ATH1K-F4,"1 duplicated pair"
7702499250,Chapter 15,Vaughn,Math,Grade 3,2024-25,22,ATH1K-F5,"same item_name+subject+grade+session split across assessment_type buckets: Vaughn under 'Lesson  Assessments', Leiva under 'Assessments' -> sections of one test cannot be viewed together under a single type filter; different subject_id rows so name-merge will not join them"
7702535723,Chapter 15,Leiva,Math,Grade 3,2024-25,19,ATH1K-F5,"type-split twin of 7702499250 (under 'Assessments')"
7702559192,Chapter 19,Watkins,Math,Grade K,2024-25,19,ATH1K-F5,"type-split: Watkins under 'Assessments', Bennet under 'Lesson  Assessments'"
7702561241,Chapter 19,Bennet,Math,Grade K,2024-25,20,ATH1K-F5,"type-split twin of 7702559192"
7787916956,Module 7 Week 2 Vocabulary Quiz,Agostino,ELA,Grade 2,2024-25,19,ATH1K-F5,"type-split: Agostino 'Assessments' vs Lenhart 'Lesson  Assessments'"
7787922452,Module 7 Week 2 Vocabulary Quiz,Lenhart,ELA,Grade 2,2024-25,19,ATH1K-F5,"type-split twin of 7787916956"
7789295582,The Big Outdoors: Weekly Assessment: Week 2,Sedlak,ELA,Grade 1,2024-25,19,ATH1K-F5,"type-split: Sedlak 'Lesson  Assessments' vs Reeder+Almendinger 'Assessments' (1-vs-2 section split)"
7789311174,The Big Outdoors: Weekly Assessment: Week 2,Reeder,ELA,Grade 1,2024-25,19,ATH1K-F5,"type-split twin"
7789322750,The Big Outdoors: Weekly Assessment: Week 2,Almendinger,ELA,Grade 1,2024-25,17,ATH1K-F5,"type-split twin"
7797124721,Wild Animals Aren?t Pets / Let People Own Exotic Animals Selection Test,2nd Period,ELA,Grade 6,2024-25,26,ATH1K-F6,"mojibake: curly apostrophe corrupted to '?' (Aren?t); encoding loss at source export; ~14 similar mojibake names school-wide (What?s/Earth?s/Fortune?s/Animal?s families)"
7797124730,Through an Animal?s Eyes Unit Test,2nd Period,ELA,Grade 6,2024-25,30,ATH1K-F6,"mojibake: Animal?s; same encoding corruption"
