finding|school|session|metrics|detail
F1_retake_nonlatest|Athenian Academy of Technology and the Arts|2024-25|cells_wrong_score=290; cells_wrong_attempt=460|read_paths=get_canonical_kpis_for_item(L208)+get_canonical_per_question_grades(L522); grain user,question_id,position; buggy tiebreak identifier NULLS LAST (no submission DESC)
F1_retake_nonlatest|Athenian Academy of Technology and the Arts|2025-26|cells_wrong_score=119; cells_wrong_attempt=156|read_paths=get_canonical_kpis_for_item(L208)+get_canonical_per_question_grades(L522); grain user,question_id,position; buggy tiebreak identifier NULLS LAST (no submission DESC)
F1_retake_nonlatest|Central Florida Preparatory School|2024-25|cells_wrong_score=60; cells_wrong_attempt=104|read_paths=get_canonical_kpis_for_item(L208)+get_canonical_per_question_grades(L522); grain user,question_id,position; buggy tiebreak identifier NULLS LAST (no submission DESC)
F1_retake_nonlatest|Central Florida Preparatory School|2025-26|cells_wrong_score=2110; cells_wrong_attempt=2910|read_paths=get_canonical_kpis_for_item(L208)+get_canonical_per_question_grades(L522); grain user,question_id,position; buggy tiebreak identifier NULLS LAST (no submission DESC)
F1_retake_nonlatest|Crestwell School|2024-25|cells_wrong_score=0; cells_wrong_attempt=0|read_paths=get_canonical_kpis_for_item(L208)+get_canonical_per_question_grades(L522); grain user,question_id,position; buggy tiebreak identifier NULLS LAST (no submission DESC)
F1_retake_nonlatest|Crestwell School|2025-26|cells_wrong_score=307; cells_wrong_attempt=375|read_paths=get_canonical_kpis_for_item(L208)+get_canonical_per_question_grades(L522); grain user,question_id,position; buggy tiebreak identifier NULLS LAST (no submission DESC)
F1_retake_nonlatest_ytd|Athenian Academy of Technology and the Arts|2024-25|cells_wrong_score=300; cells_wrong_attempt=474|read_path=get_ytd_longitudinal_cells(L2303); grain user,item,question,position; buggy tiebreak standard NULLS LAST (no submission DESC)
F1_retake_nonlatest_ytd|Athenian Academy of Technology and the Arts|2025-26|cells_wrong_score=115; cells_wrong_attempt=149|read_path=get_ytd_longitudinal_cells(L2303); grain user,item,question,position; buggy tiebreak standard NULLS LAST (no submission DESC)
F1_retake_nonlatest_ytd|Central Florida Preparatory School|2024-25|cells_wrong_score=61; cells_wrong_attempt=108|read_path=get_ytd_longitudinal_cells(L2303); grain user,item,question,position; buggy tiebreak standard NULLS LAST (no submission DESC)
F1_retake_nonlatest_ytd|Central Florida Preparatory School|2025-26|cells_wrong_score=2130; cells_wrong_attempt=2923|read_path=get_ytd_longitudinal_cells(L2303); grain user,item,question,position; buggy tiebreak standard NULLS LAST (no submission DESC)
F1_retake_nonlatest_ytd|Crestwell School|2024-25|cells_wrong_score=0; cells_wrong_attempt=0|read_path=get_ytd_longitudinal_cells(L2303); grain user,item,question,position; buggy tiebreak standard NULLS LAST (no submission DESC)
F1_retake_nonlatest_ytd|Crestwell School|2025-26|cells_wrong_score=302; cells_wrong_attempt=380|read_path=get_ytd_longitudinal_cells(L2303); grain user,item,question,position; buggy tiebreak standard NULLS LAST (no submission DESC)
F2_zero_poison_std_strand|Athenian Academy of Technology and the Arts|2024-25|poisoned_standard_rows=231; total_std_rows=574|get_school_standard_rollup(L1777)+get_school_strand_rollup(L1672): AVG(COALESCE(qso_avg,0)); cqs.ukey has no cqso.ukey (4323 such ukeys) -> 0 injected
F2_zero_poison_std_strand|Athenian Academy of Technology and the Arts|2025-26|poisoned_standard_rows=179; total_std_rows=497|get_school_standard_rollup(L1777)+get_school_strand_rollup(L1672): AVG(COALESCE(qso_avg,0)); cqs.ukey has no cqso.ukey (4323 such ukeys) -> 0 injected
F2_zero_poison_std_strand|Central Florida Preparatory School|2024-25|poisoned_standard_rows=0; total_std_rows=36|get_school_standard_rollup(L1777)+get_school_strand_rollup(L1672): AVG(COALESCE(qso_avg,0)); cqs.ukey has no cqso.ukey (4323 such ukeys) -> 0 injected
F2_zero_poison_std_strand|Central Florida Preparatory School|2025-26|poisoned_standard_rows=158; total_std_rows=560|get_school_standard_rollup(L1777)+get_school_strand_rollup(L1672): AVG(COALESCE(qso_avg,0)); cqs.ukey has no cqso.ukey (4323 such ukeys) -> 0 injected
F2_zero_poison_std_strand|Crestwell School|2024-25|poisoned_standard_rows=0; total_std_rows=2|get_school_standard_rollup(L1777)+get_school_strand_rollup(L1672): AVG(COALESCE(qso_avg,0)); cqs.ukey has no cqso.ukey (4323 such ukeys) -> 0 injected
F2_zero_poison_std_strand|Crestwell School|2025-26|poisoned_standard_rows=65; total_std_rows=145|get_school_standard_rollup(L1777)+get_school_strand_rollup(L1672): AVG(COALESCE(qso_avg,0)); cqs.ukey has no cqso.ukey (4323 such ukeys) -> 0 injected
F3_grading_contradiction|Athenian Academy of Technology and the Arts|2024-25|contradictory_questions=1596; answer_cells=2308|same normalized answer_submission graded BOTH full-credit and zero on same (question,position)
F3_grading_contradiction|Athenian Academy of Technology and the Arts|2025-26|contradictory_questions=696; answer_cells=994|same normalized answer_submission graded BOTH full-credit and zero on same (question,position)
F3_grading_contradiction|Central Florida Preparatory School|2024-25|contradictory_questions=11; answer_cells=21|same normalized answer_submission graded BOTH full-credit and zero on same (question,position)
F3_grading_contradiction|Central Florida Preparatory School|2025-26|contradictory_questions=975; answer_cells=1254|same normalized answer_submission graded BOTH full-credit and zero on same (question,position)
F3_grading_contradiction|Crestwell School|2024-25|contradictory_questions=0; answer_cells=0|same normalized answer_submission graded BOTH full-credit and zero on same (question,position)
