item_id,item_name,section_name,subject,grade,session,status,reason
7892359049,Slavery and the Wild West Test,5th Period,History,Grade 7,2025-26,FLAGGED-standards-gap,Zero standards mapped on any of 27 questions (24 students); all sibling History G7 unit tests carry SOC.8.SS.8.* alignments; teacher-created test never aligned in Schoology (source-side); invisible in standards-based reports
7337899755,Happy Healthy Me: Weekly Assessment: Week 1,"",ELA,Grade 1,2024-25,FLAGGED-naming-hygiene,"assessment_type='Test' one-off variant vs canonical 'Lesson  Assessments'(1138)/'Assessments'(71); splits assessment-type slicer; outside chunk window, found during chunk verification"
7797146594,Inspired by Nature Unit Test,"",ELA,Grade 7,2024-25,FLAGGED-naming-hygiene,"assessment_type='Lesson Assessments' (single space) vs canonical double-space 'Lesson  Assessments'; visually identical slicer duplicate; outside chunk window, found during chunk verification"
7892357557,Unit 1 Test,2nd Period,Civics,Grade 8,2025-26,RULED-BENIGN,SS.7.CG standards under Grade 8: cohort-verified 31/31 overlap with Science Grade 8 students; school teaches FL Civics course to 8th graders; DO NOT relabel
7892357560,Unit 2 Test,2nd Period,Civics,Grade 8,2025-26,RULED-BENIGN,Same Civics-taught-in-8th pattern; faithful to source
7892357561,Unit 3 Test,2nd Period,Civics,Grade 8,2025-26,RULED-BENIGN,Same Civics-taught-in-8th pattern; faithful to source
7892357568,Unit 4 Test,2nd Period,Civics,Grade 8,2025-26,RULED-BENIGN,Same Civics-taught-in-8th pattern; faithful to source
7892357574,Unit 5 Test,2nd Period,Civics,Grade 8,2025-26,RULED-BENIGN,Same Civics-taught-in-8th pattern; faithful to source
7892357583,Unit 6 Test,2nd Period,Civics,Grade 8,2025-26,RULED-BENIGN,Same Civics-taught-in-8th pattern; faithful to source
7892357593,Unit 7 Test,2nd Period,Civics,Grade 8,2025-26,RULED-BENIGN,Same Civics-taught-in-8th pattern; faithful to source
7892359041,Unit 1 Test,5th Period,History,Grade 7,2025-26,RULED-BENIGN,SOC.8.SS.8.A/G US-History standards under Grade 7: cohort-verified 27/27 overlap with Science Grade 7 students; school teaches US History to 7th graders; DO NOT relabel
7892359044,Unit 2 Test,5th Period,History,Grade 7,2025-26,RULED-BENIGN,Same US-History-taught-in-7th pattern; faithful to source
7892359045,Unit 3 Test,5th Period,History,Grade 7,2025-26,RULED-BENIGN,Same US-History-taught-in-7th pattern; faithful to source
7892359047,Unit 4 Test,5th Period,History,Grade 7,2025-26,RULED-BENIGN,Same US-History-taught-in-7th pattern; faithful to source
7892359048,Unit 5 Test,5th Period,History,Grade 7,2025-26,RULED-BENIGN,Same US-History-taught-in-7th pattern; faithful to source
