verdict,wrong_field,confidence,school,session,folder_subject,folder_grade,corrected_subject,corrected_grade,item_name,assessment_types,n_students,taker_grade,code_grade,code_subject,dup_other_grades,dup_other_subjects,reasoning,subject_id
GENUINE_MISFILE,BOTH,high,Athenian Academy of Technology and the Arts,2024-25,Algebra,Grade 8,Science,Grade 1,Plant Needs 'Genius Challenge',Lesson  Assessments,18,Grade 1,,,Grade 1,Science,"All 18 takers' modal folder-grade is Grade 1, an identical-title twin exists under Science/Grade 1, and the item is a biology topic — an 'Algebra/Grade 8' folder cannot be correct for a Grade-1 science challenge.",4f92c0bd12898a3618258132ae05832ad767fd29fe072ae70ce686a0e0c4c137
GENUINE_MISFILE,BOTH,high,Athenian Academy of Technology and the Arts,2024-25,Algebra,Grade 8,Science,Grade 1,Inherited Traits 'Genius Challenge',Lesson  Assessments,18,Grade 1,,,Grade 1,Science,All 18 takers' modal grade is Grade 1 and an identical-title twin is filed under Science/Grade 1; a genetics 'Genius Challenge' taken by Grade-1 students is not an Algebra/Grade-8 assessment.,72331f12dd977ebabad4d825c49202a48e7f6cfdb2b50aba3bf2d0f5889797e5
GENUINE_MISFILE,BOTH,high,Athenian Academy of Technology and the Arts,2024-25,ELA,Grade 2,Math,Grade K,Chapter 18,Assessments,19,Grade K,Grade K,Math,Grade 3;Grade 5;Grade K,Math,"Despite the generic reused title, this instance's standards are 100% MA.K.GR.* (Kindergarten Math geometry) and takers' modal grade is K, so the ELA/Grade 2 folder is wrong on both subject and grade.",df6c0856658a84abee3dced09e1e891e3c24630d4f2433dc5242e2ee425e37f8
GENUINE_MISFILE,BOTH,high,Athenian Academy of Technology and the Arts,2025-26,ELA,Grade 3,Math,Grade 1,Chapter 2,Lesson  Assessments,20,Grade 1,Grade 1,Math,Grade 1;Grade 2;Grade 5,Math,"Standards are 100% MA.1.NSO.* (Math, grade 1) — a folder-independent anchor that contradicts the ELA/Grade 3 folder on both dimensions; generic 'Chapter 2' name is overridden by this instance's Math content.",761ccd209b5e294d6d5e35a8498ece0d62cac0ff4bb349e669127a6556c5bd4d
GENUINE_MISFILE,BOTH,high,Athenian Academy of Technology and the Arts,2024-25,ELA,Grade 3,Math,Grade 5,Chapter 18,Assessments,20,Grade 5,Grade 5,Math,Grade 2;Grade 5;Grade K,Math,"Standards are 100% Math with ~87% MA.5.DP.* (grade 5, minor MA.4.DP), contradicting the ELA/Grade 3 folder on both subject and grade; folder-independent standards decisively override the generic 'Chapter 18' name.",ff14856b47873b9004816d81a15c1eaaeeda5ece624b3821426e632b00a983d9
GENUINE_MISFILE,GRADE,high,Athenian Academy of Technology and the Arts,2024-25,ELA,Grade 1,,Grade K,Happy Healthy Me: Weekly Assessment: Week 3,Unit-Chap  Assessments,19,Grade K,Grade K,ELA,Grade K,,"Standards are 100% ELA.K.* (folder-independent Kindergarten foundational-reading codes) and three identical-title twins are all filed under ELA/Grade K, so the Grade-1 folder is a grade misfile; subject ELA is correct.",177e273023e5c74977094d88d9641f71ac3003dc61eda2e70ca7328e2b6291bf
GENUINE_MISFILE,GRADE,high,Athenian Academy of Technology and the Arts,2024-25,ELA,Grade 1,,Grade K,Happy Healthy Me: Weekly Assessment: Week 1,Test,19,Grade K,Grade K,ELA,Grade K,,Standards are 100% ELA.K.* (Kindergarten codes) and identical-title twins sit under ELA/Grade K; the Grade-1 folder is a grade misfile with subject ELA correct.,5acc2502ac13c973a3f8c5660de1e6f6f300b4d7a7afc19043be7f068431cbaf
GENUINE_MISFILE,GRADE,high,Athenian Academy of Technology and the Arts,2024-25,ELA,Grade 2,,Grade 3,M4W2  Vocabulary Quiz,Lesson  Assessments,19,Grade 3,,,Grade 3,,"No standard codes, but all 19 takers' modal grade across all their folders is Grade 3 and an ELA/Grade 3 twin of the same title exists; the Grade-2 folder is a grade misfile, subject ELA correct.",10c2d31991c5405ce8b7c857d4c557f468765fc05fb7a12591a7b6268046c876
GENUINE_MISFILE,GRADE,high,Athenian Academy of Technology and the Arts,2024-25,ELA,Grade 2,,Grade 3,CW-Cold Read: Roberto Clemente,Lesson  Assessments,19,Grade 3,Grade 3,ELA,,,"Standards are entirely LA.3.LAFS.3.* (grade-3 reading, folder-independent anchor) and takers' modal grade is Grade 3; the Grade-2 folder is a grade misfile, subject ELA correct.",71cb9bb29c8672f939932122e1ab3a036f9f3e9b274f3064831bacb16d654644
GENUINE_MISFILE,GRADE,high,Athenian Academy of Technology and the Arts,2024-25,ELA,Grade 3,,Grade 4,12/5 Reading Classwork,Lesson  Assessments,19,Grade 4,,,Grade 4,,"No standards, but all 19 takers are unanimously Grade 4 across their OTHER same-session (2024-25) assessment folders and a twin title exists under Grade 4, so the Grade 3 folder is a grade misfile; ELA subject is correct (Reading Classwork).",444f30efcce21d5743e68fe3b4b0d4ab8ba60e221fdd048befc8b1438e3549ae
