issue_id,issue_class,source_doc,schools,status_local,status_prod,affected_count_per_doc,fix_applied_or_planned,backup_tables,notes_for_reconciliation
Q12-MULTISELECT,"Multi-select option-shred inflates SUM/SUM per-question grade_average in cube totals CTE (2-8pp downward bias)",docs/audit/fixes/01_q12_multiselect_applied.md,all 3,FIXED 2026-05-20,assumed shipped in cube SQL (code fix; rebuild applies everywhere),"all multi-select questions; anchor Q12 item 8359960427 q 2269602178","Pre-aggregate MAX(points_received)/MAX(points_possible) per (school,item,question,user,submission,position_number) before SUM/SUM in cube_question_summary.sql and cube_question_summary_overall.sql totals CTEs; fact grain and cube_questionincorrectchoice_summary intentionally NOT touched",n/a (code fix),"Invariant: Q12 grade_average=27.78% / total_possible_point=27 / total_score=7.5; other questions unchanged (q 2269602176 = 96.30%); safety probe 'unsafe clusters with COUNT(DISTINCT points_received)>1' must return 0. Fix intentionally diverges from legacy PBIX (23.97%) toward Schoology truth (27.78%). New audit must NOT flag multi-select fan-out in the fact as a bug (grain is intentional) nor flag the cube/legacy divergence on multi-select questions."
MISFILE-WRONG-SUBJECT,"Assessment filed under wrong subject (Schoology source folder mis-assignment)",docs/audit/assessment_misfiling_audit.md,Athenian+CFP(Central)+Crestwell,"FIXED on local (relabel or twin-merge, 2026-07-09)",PENDING (runbook written; NOT yet applied),"11 rows in section A (subject wrong incl. 8 wrong-both)","Runbook fix #1 relabel (update subject/grade columns keep subject_id) or fix #2 twin merge (reassign subject_id A->B across fact/dim_item/cubes, delete A dim_subject)",fix_bak_* fix3_bak_* mrg_bak_*,"Examples: Athenian 'Chapter 16' ELA/G2->Math; 'Unit 3 Test' ELA/G7->Social Studies; CFP 'Unit 7 Benchmark Test: Working With Electricity' ELA/G1->Science/G5. Root cause = SOURCE (Schoology course/section assignment), not our transforms."
MISFILE-WRONG-GRADE,"Assessment filed under wrong grade (subject correct)",docs/audit/assessment_misfiling_audit.md,Athenian+CFP+Crestwell,"FIXED on local (relabel or twin-merge, 2026-07-09)",PENDING (runbook written; NOT yet applied),"26 rows in section B","Same relabel/twin-merge patterns as above; grade corrected from standard-code anchor + student-cohort + twin-title signals",fix_bak_* mrg_bak_*,"Doc headline says 37 confirmed misfiles (Athenian 31 / Central 5 / Crestwell 1); the referenced assessment_misfiling.csv says 81 candidates filter GENUINE_MISFILE=35 (doc-internal count inconsistency); session memory records a larger 82-confirmed figure from the full 1815-assessment audit. Reconciler should treat the runbook fix inventory (9+2 relabels, 17+1 merges) as what was actually applied."
MISFILE-EXCLUDED-LEGIT,"Off-grade standards + CFP dual-enrollment patterns explicitly ruled LEGITIMATE",docs/audit/assessment_misfiling_audit.md,Athenian+CFP,NOT A BUG (excluded by design),n/a,"46 (35 off-grade standards, 11 CFP dual-enrollment)","No fix; do not touch","","35 off-grade: Civics/Grade 8 taught w/ SS.7 codes (15), History/Grade 7 (10) etc; 11 CFP HS English III/IV under Regular 9-12 vs Higher-Ed = possible dual-enrollment, 'confirm with CFP' but treated legitimate. New detectors MUST NOT re-flag these classes as misfiles."
PHANTOM-GHOST-CARDS,"dim_subject rows with 0 fact + 0 cube rows produce empty 0-student dashboard cards",docs/audit/fixes/02_assessment_misfiling_prod_runbook.md,all 3,FIXED on local (fix #3 delete + fix #4 heal),PENDING per runbook step 4,"63 rows deleted; 20 dim_item rows healed back","DELETE empty dim_subject + their dim_item pairings, then MANDATORY heal: re-INSERT dim_item rows still needed by real fact-bearing subject_ids (naive cleanup broke ~20 real tests' card counts)",clean_bak_dim_subject clean_bak_dim_item,"Cleanup+heal must be done as ONE pair. If new audit finds subject_ids with 0 dim_item but live fact/cubes, cross-check against the 36 known dim_item-gap items before flagging as new."
DQD-STALE-LABELS,"Stale dim_question_data rows carrying old wrong subject/grade labels after relabel/merge",docs/audit/fixes/02_assessment_misfiling_prod_runbook.md,all 3,FIXED on local (fix #5),PENDING per runbook step 5,"18 (9 deleted duplicates + 9 relabeled)","Delete if correct-label row already exists for same item; else relabel to authoritative dim_subject label of the fact-bearing subject_id",dqdclean_bak,"dim_question_data label drift vs dim_subject is a known fixed class; residual mismatches found by new audit = either the 36 open gap items or genuinely new."
DIM-ITEM-GAP-36,"36 assessments with fact+cubes but missing/wrong dim_item wiring: 29 fully invisible (no card, ~474 students) + 7 under-counting",docs/audit/fixes/02_assessment_misfiling_prod_runbook.md section 6,Athenian 25h/6u + CFP 3h + Crestwell 1h/1u,OPEN - deliberately NOT auto-fixed,OPEN,36,"Needs case-by-case merge (20 REASSIGN owner-is-metadata-shadow, 14 MERGE-TYPE both-have-students, 2 CONFLICT grade dispute); likely needs source/Fatima input; dim_item PK=(school_id,item_id) means one item = one subject_id so bulk fix impossible","none","All 36 have CORRECT labels - purely dim_item wiring. Expected to reappear in any orphan/split-assessment detector; reconcile as KNOWN-OPEN not new."
HELD-FOR-REVIEW,"Items deliberately NOT fixed anywhere",docs/audit/fixes/02_assessment_misfiling_prod_runbook.md section 0,mixed,OPEN (held),OPEN (do NOT push to prod),"7 Fatima-review + 2 skeptic-overturned + 1 needs-human ('2 Digit Addition' grade question)","Awaiting human confirmation","","Orchestrator must exclude these from any auto-fix plan."
PROD-APPLICATION,"Entire misfiling fix set not yet replayed on production",docs/audit/fixes/02_assessment_misfiling_prod_runbook.md,all 3 (prod),n/a,OPEN - runbook ready,"all of fixes 1-5","Replay per runbook: re-audit on prod first (different data vintage), look up IDs by business key never hardcode, BEGIN/COMMIT + *_bak, statement_timeout=0, verify card==fact + KPI conservation + live tenant-role sweep, rotate DB password","to be created on prod","GOLDEN RULE: prod has NO raw/staging - NEVER re-run ingestion pipeline on prod (would wipe data)."
D-FACT-1,"Role filter user_role_id='286170' present in current fact, absent in legacy build_fact_tables",docs/audit/05_facts.md,all 3,DOCUMENTED divergence (intentional-ish; kept),same as code,n/a,"None - accepted; drops stray non-student rows legacy kept","","Small KPI nudge possible vs legacy; not a data bug. New audit should not flag missing teacher/parent rows in fact as data loss."
