item_id,item_name,section_name,section_instructors,subject,grade,session,assessment_type,pattern,severity,reason
7610639442,Chapter 1 Test: Counting and Number Sense,Instructor 1,Sitara Qalander,Math,Grade 1,2025-26,Summative,demo-account-cluster,high,Section 'Instructor 1'; fake student Palwasha Brohi (2024-25 Chap Test) + Misbah Shaikh (2025-26 Summative); one item spans 2 sessions/2 assessment_types under a single dim label (Math/Grade 1/2025-26/Summative)
7610639443,Chapter 2 Test: Count by Tens and Ones,Instructor 1,Sitara Qalander,Math,Grade 1,2025-26,Summative,demo-account-cluster,high,Section 'Instructor 1'; sole taker is fake student Misbah Shaikh (2025-26) — staff sandbox data in live Grade 1 Math
7610639444,Chapter 3 Test: Compare Numbers,Instructor 1,Sitara Qalander,Math,Grade 1,2025-26,Summative,demo-account-cluster,high,Section 'Instructor 1'; sole taker is fake student Misbah Shaikh (2025-26)
7610639551,Chapter 1 Test: Counting and Number Sense,Instructor 2,Sitara Shamsheer,Math,Grade 1,2024-25,Chap Test,demo-account-cluster,high,"Section 'Instructor 2'; fake students Ahmed Shamsheer + Pareesa Brohi (2024-25, type Chap Test)"
7841245375,Chapter 1 Test: Counting and Number Sense,Instructor 1,"Sitara Qalander, Mila Reed",Math,Grade 2,2024-25,2 sectionsAll Sections,demo-account-cluster + wrong-grade + junk-type + duplicate,high,Labeled Math/Grade 2 but content is the Grade-1 'Chapter 1 Test: Counting and Number Sense' (standards MA.1.*); assessment_type='2 sectionsAll Sections' (junk parser value); same 5 fake users + same day (2025-05-15) as items 7610639442/7610639551 => duplicate ingest of one demo test event
7929067017,Module Assessment: What Makes Us Who We Are?,Section B,"Sitara Qalander, Paige Yockey",Reading,Grade 4,2025-26,Summative,junk-standards,medium,30 fact rows carry rubric labels 'Conventions' and 'Development/organizaion of Ideas' (sic) in standard column; identifier blank; no dim_standard join -> unlabeled standard rows in reports
8030068539,Come to Your Senses: Weekly Assessment: Week 1,Section B,"Sitara Qalander, Paige Yockey",Reading,Grade 4,2025-26,Summative,junk-standards,medium,32 fact rows with rubric labels as standards (same two junk values)
8043771169,Come to Your Senses: Weekly Assessment: Week 2,Section B,"MaryBeth Taylor, Paige Yockey",Reading,Grade 4,2025-26,Summative,junk-standards,medium,30 fact rows with rubric labels as standards (same two junk values)
7925711744,Wild West: Weekly Assessment: Week 1,,,Reading,Grade 5,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
7925712492,Genre Study: Nonfiction: Weekly Assessment: Week 1,,,Reading,Grade 5,2025-26,Summative,section-label-style,low,fact.section uses bare style (e.g. 'Section B') while 371 other items use 'Sec Section B' style — inconsistent section labels across items of the same physical section
