school_name,school_id,subject_id,item_name,question_no,n_items,n_sigs,item_ids,pattern,date_span_days,distinct_text_samples,min_cross_item_similarity,conflict_class
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,a558411fde85105bca87dc87205258bf647f95cdf493e6d86a2fe2f9594c8890,Home Sweet Habitat: Weekly Assessment: Week 1,5,3,2,7780237793 | 7796962804 | 7806926683,per-section-variant,1,How does the use of chronological order support the author?s purpose in the article? ||| Read the selection and answer each question. Backyard Bunnies by Michelle Lord (1)The grass in my yard had grown tall in,0.0,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,34930c65c38f044c3667c89109f2b261d33c6653b41fdb389b7857c0c19772b1,Home Sweet Habitat: Weekly Assessment: Week 2,3,2,2,7807260114 | 7814288655,per-section-variant,0,Look at the picture at the end of the article. Which paragraph does the picture help the reader understand? ||| Read the selection and answer each question. Beneath Your Feet (1)There is a hidden world of animal homes beneath your f,0.0,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,34930c65c38f044c3667c89109f2b261d33c6653b41fdb389b7857c0c19772b1,Home Sweet Habitat: Weekly Assessment: Week 2,6,2,2,7807260114 | 7814288655,per-section-variant,0,"Read the selection and answer each question. All You Need by Howard Schwartz You need a planet to live on, a sun (5)to s ||| The author repeats the words You need in the poem. What idea does the repetition help the reader understand?",0.0,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,89b096203bf633ebc91fa6d91afa41d8fb0d2498b9b8a416108d7d7ac372fa20,Home Sweet Habitat: Weekly Assessment: Week 3,6,3,2,7780237817 | 7816901887 | 7823076023,per-section-variant,0,How does the use of chronological order support the author?s purpose in the article? ||| Read the selection and answer each question. From Pit to Pond (1)The pond in our backyard wasn?t always a pond. It start,0.0,genuinely_different
Central Florida Preparatory School,019eb11c-413b-7a66-a7d8-a18f14736ede,e21bda5ff7fe35e52d8c77d8f552d5e58dd9c5783e5bf5dc0468dea9bd3249ce,Time to Grow!: Weekly Assessment: Week 3,3,3,2,7780237758 | 7791692190 | 7799001172,per-section-variant,0,"Read the selection and answer each question. Poison Dart Frogs (1)Deep in the rainforest, a small blue frog hops from lo ||| What will happen if the poison dart frog?s eggs dry out?",0.0,genuinely_different
Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,5c416ffbc9266bcec8f69a9a04442feefbccfeeb1cd8421a5fad8fe0edc59765,Module Assessment: Global Guardians,6,2,2,8288360977 | 8288361303,per-section-variant,1,How does the story support the idea that we should focus on what makes us different or special? Use details from the sto ||| Read the selection and answer each question. Fabulous Frederic by Peggy Thorne (1)My show was terrific?right up until th,0.0,genuinely_different
Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,5c416ffbc9266bcec8f69a9a04442feefbccfeeb1cd8421a5fad8fe0edc59765,Module Assessment: Global Guardians,7,2,2,8288360977 | 8288361303,per-section-variant,1,Read the selection and answer each question. Fabulous Frederic by Peggy Thorne (1)My show was terrific?right up until th ||| Which message does the author present in the last paragraph of the story?,0.0,genuinely_different
Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,5c416ffbc9266bcec8f69a9a04442feefbccfeeb1cd8421a5fad8fe0edc59765,Module Assessment: Global Guardians,13,2,2,8288360977 | 8288361303,per-section-variant,1,"Part B Which sentence from the biography best supports the correct answer to Part A? ||| Read the selection and answer each question. Althea Gibson, Tennis Star (1)In 1957 Althea Gibson was the first African A",0.0,genuinely_different
Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,5c416ffbc9266bcec8f69a9a04442feefbccfeeb1cd8421a5fad8fe0edc59765,Module Assessment: Global Guardians,14,2,2,8288360977 | 8288361303,per-section-variant,1,"Read the selection and answer each question. Althea Gibson, Tennis Star (1)In 1957 Althea Gibson was the first African A ||| What new information does the timeline add to the biography?",0.0,genuinely_different
Crestwell School,019eb11c-413c-7ed9-872e-0fe5e9a947b6,5c416ffbc9266bcec8f69a9a04442feefbccfeeb1cd8421a5fad8fe0edc59765,Module Assessment: Global Guardians,8,2,2,8288360977 | 8288361303,per-section-variant,1,"  How does the author present the events in Gibson?s biography? ||| Read the selection and answer each question. Althea Gibson, Tennis Star (1)In 1957 Althea Gibson was the first African A",0.001,genuinely_different
