table_name,rls_on,n_policies,size,carries_pii_user_name,has_school_id,anon_select,auth_select,anchor_role
clean_bak_dim_item,f,0,48 kB,0,1,t,t,phantom-cleanup-rollback (63 deleted ghost dim_subject/item)
clean_bak_dim_subject,f,0,48 kB,0,1,t,t,phantom-cleanup-rollback (63 deleted ghost dim_subject/item)
dim_standard_directlink_bak,f,0,272 kB,0,0,t,t,"cpalms-link-rollback (LIVE code ref, no PII)"
dqdclean_bak,f,0,512 kB,0,1,t,t,dqd-cleanup-rollback (pre-fix dim_question_data labels)
fix3_bak_cube_grade_summary,f,0,16 kB,0,1,t,t,relabel-rollback (pre-fix wrong grade/subject)
fix3_bak_cube_question_summary,f,0,480 kB,0,1,t,t,relabel-rollback (pre-fix wrong grade/subject)
fix3_bak_cube_question_summary_overall,f,0,328 kB,0,1,t,t,relabel-rollback (pre-fix wrong grade/subject)
fix3_bak_cube_school_summary,f,0,16 kB,0,1,t,t,relabel-rollback (pre-fix wrong grade/subject)
fix3_bak_cus,f,0,1032 kB,1,1,t,t,relabel-rollback (pre-fix wrong grade/subject)
fix3_bak_dim_item,f,0,16 kB,0,1,t,t,relabel-rollback (pre-fix wrong grade/subject)
fix3_bak_dim_subject,f,0,16 kB,0,1,t,t,relabel-rollback (pre-fix wrong grade/subject)
fix3_bak_dqd,f,0,256 kB,0,1,t,t,relabel-rollback (pre-fix wrong grade/subject)
fix3_bak_fact_student_submission,f,0,5752 kB,1,1,t,t,relabel-rollback (pre-fix wrong grade/subject)
fix_bak_cqs,f,0,296 kB,0,1,t,t,relabel-rollback (pre-fix wrong grade/subject)
fix_bak_cus,f,0,592 kB,1,1,t,t,relabel-rollback (pre-fix wrong grade/subject)
fix_bak_dim_subject,f,0,16 kB,0,1,t,t,relabel-rollback (pre-fix wrong grade/subject)
fix_bak_dqd,f,0,112 kB,0,1,t,t,relabel-rollback (pre-fix wrong grade/subject)
fix_bak_fact,f,0,3776 kB,1,1,t,t,relabel-rollback (pre-fix wrong grade/subject)
mrg_bak_cube_grade_summary,f,0,48 kB,0,1,t,t,twin-merge-rollback (deleted A-side subject_id + pre-merge labels)
mrg_bak_cube_question_summary,f,0,504 kB,0,1,t,t,twin-merge-rollback (deleted A-side subject_id + pre-merge labels)
mrg_bak_cube_question_summary_overall,f,0,304 kB,0,1,t,t,twin-merge-rollback (deleted A-side subject_id + pre-merge labels)
mrg_bak_cube_school_summary,f,0,48 kB,0,1,t,t,twin-merge-rollback (deleted A-side subject_id + pre-merge labels)
mrg_bak_cus,f,0,1432 kB,1,1,t,t,twin-merge-rollback (deleted A-side subject_id + pre-merge labels)
mrg_bak_dim_item,f,0,16 kB,0,1,t,t,twin-merge-rollback (deleted A-side subject_id + pre-merge labels)
mrg_bak_dim_subject,f,0,16 kB,0,1,t,t,twin-merge-rollback (deleted A-side subject_id + pre-merge labels)
mrg_bak_dqd,f,0,224 kB,0,1,t,t,twin-merge-rollback (deleted A-side subject_id + pre-merge labels)
mrg_bak_fact_student_submission,f,0,3928 kB,1,1,t,t,twin-merge-rollback (deleted A-side subject_id + pre-merge labels)
