item_id,item_name,section_name,subject,grade,session,category,reason
8342377670,Module 10 Assessment : Dare to Dream,Section A,Reading,Grade 1,2025-26,naming-hygiene,'Module 10 Assessment : Dare to Dream' stray space before colon (all 3 sections consistent so no split; cosmetic label)
8342378260,Module 10 Assessment : Dare to Dream,Section B,Reading,Grade 1,2025-26,naming-hygiene,stray space before colon in item_name (cosmetic)
8342380774,Module 10 Assessment : Dare to Dream,Section C,Reading,Grade 1,2025-26,naming-hygiene,stray space before colon in item_name (cosmetic)
8236181360,Chapter 7 Test: Subtraction Strategies,Section A,Math,Grade 1,2025-26,phantom-fragment,"G1 Math 'Chapter 7 Test: Subtraction Strategies' Sec A has only 2 students vs 13/13 in Secs B/C and 10-12 typical Sec A; staging matches (2 users) -> partial grading/export at source, single date 2026-02-02"
8151950684,"Module Assessment: Now You See It, Now You Don't",Section B,Reading,Grade 1,2025-26,section-integrity,"G1 Reading module 'Now You See It, Now You Don't' exists ONLY as Sec B with 4 of ~15 students (single date 2025-12-09); Secs A/C absent in fact AND staging -> source export gap; neighboring modules have full A/B/C"
8200418372,Module 6 Assessment: Celebrate America,Section C,Reading,Grade 1,2025-26,section-integrity,G1 Reading 'Module 6 Assessment: Celebrate America' exists ONLY as Sec C(14); Secs A/B absent in fact and staging -> missing section data at source
8235183921,Module Assessment: The Big Outdoors,Section A,Reading,Grade 1,2025-26,section-integrity,G1 Reading 'Module Assessment: The Big Outdoors' exists ONLY as Sec A(11); Secs B/C absent in fact and staging
8235188190,The Big Outdoors: Weekly Assessment: Week 3,Section C,Reading,Grade 1,2025-26,section-integrity,G1 Reading 'The Big Outdoors: Weekly Wk3' exists ONLY as Sec C with 7 of ~13 students; Secs A/B absent in fact and staging
8270214260,Module Assessment: Tell Me a Story,Section A,Reading,Grade 1,2025-26,section-integrity,G1 Reading 'Module Assessment: Tell Me a Story' exists ONLY as Sec A(12); Secs B/C absent in fact and staging
8291181779,"Module Assessment: Unexpected, Unexplained",Section B,Reading,Grade 5,2025-26,section-integrity,"G5 Reading 'Module Assessment: Unexpected, Unexplained' exists ONLY as Sec B(14); Sec A (~12, present for sibling module Art for Everyone) absent in fact and staging"
8344391041,Module Assessment: Time to Grow!,Section A,Reading,Grade 2,2025-26,section-integrity,"G2 Reading 'Module Assessment: Time to Grow!' exists ONLY as Sec A(17); Sec B (~16 students, present for all other G2 modules) absent in fact and staging"
8378207057,Module Assessment: Genre Study: Nonfiction,Section B,Reading,Grade 3,2025-26,section-integrity,G3 Reading 'Module Assessment: Genre Study: Nonfiction' exists ONLY as Sec B(13); every other G3 module has Sec A+B; Sec A absent in fact and staging
8206618250,Chapter 11 Test: Multiply Fractions and Whole Numbers,Section A,Math,Grade 4,2025-26,split-assessment,"Sec A named 'Chapter 11 Test: Multiply Fractions and Whole Numbers'; Sec B sibling 8206619117 named without 'Test:' -> different subject_id (2e228f vs aa6b15) -> same G4 Math test renders as 2 separate reports, 15 students each"
8206619117,Chapter 11 Multiply Fractions and Whole Numbers,Section B,Math,Grade 4,2025-26,split-assessment,Sec B name 'Chapter 11 Multiply Fractions and Whole Numbers' (missing 'Test:') differs from Sec A 8206618250 -> merge keyed on subject_id fails -> split report
8226431238,Module Assessment: Happy Healthy Me,Section C,Reading,Grade K,2025-26,split-assessment,Sec C of Happy Healthy Me under plain name; split from Sec A variant 8226436104
8226436104,Module 4 Assessment: Happy Healthy Me,Section A,Reading,Grade K,2025-26,split-assessment,GK Reading Sec A named 'Module 4 Assessment: Happy Healthy Me' vs Sec B/C 'Module Assessment: Happy Healthy Me' -> different subject_ids -> one module test appears as 2 reports (13 vs 12+14 students)
8226436129,Module Assessment: Happy Healthy Me,Section B,Reading,Grade K,2025-26,split-assessment,Sec B of Happy Healthy Me under plain name; split from Sec A variant 8226436104
8230928452,Chapter 11 Test: Money,Section A,Math,Grade 2,2025-26,split-assessment,"G2 Math 'Chapter 11 Test: Money' Sec A(17) splits from Sec B sibling 7928772123 named 'Chapter 11 Test: Money (overriding)' (junk suffix, different subject_id) -> 2 half-cohort reports"
8261130285,Module Assessment: I Can Do It!,Section C,Reading,Grade K,2025-26,split-assessment,Sec C of I Can Do It! under plain name; split from Sec A variant 8261135064
8261135064,Module 5 Assessment: I Can Do It!,Section A,Reading,Grade K,2025-26,split-assessment,GK Reading Sec A named 'Module 5 Assessment: I Can Do It!' vs Sec B/C 'Module Assessment: I Can Do It!' -> different subject_ids -> split report (13 vs 10+14 students)
8261137849,Module Assessment: I Can Do It!,Section B,Reading,Grade K,2025-26,split-assessment,Sec B of I Can Do It! under plain name; split from Sec A variant 8261135064
8336355224,Chapter 17 Test: Represent and Interpret Data,Section A,Math,Grade 4,2025-26,standards-gap,G4 Math Chapter 17 Sec A: question 2263842698 double-tagged MA.3.DP.1.1 + MA.4.DP.1.1 while identical question in Sec B (8336355628) has only MA.4.DP.1.1; MA.3 identifier 3beb2b67 flows into cube_standard_summary -> Grade-3 benchmark in Grade-4 standards report with Sec-A-only denominator
