item_id,reason,detail
7892346412,wrong-grade + cross-layer split-brain,"Through an Animal's Eyes Unit Test (HMH G6 unit): 38/39 students = G6 2nd-Period cohort, 0 overlap with real G8 class; all standards ELA.6.*; 2024-25 twin 7797124730 = Grade 6. Source exported same file into Grade 6 folder 2026-04-21 AND Grade 8 folder 2026-04-25; latest-export-wins adopted Grade 8 in fact+dim_subject+cube_user_summary while dim_question_data+cube_question_summary retain Grade 6"
7892348517,unlabeled question row in cube_question_summary,What is the Horror Genre? Selection Test (G8): fact has 14 questions but raw_question_data/dqd have only 13 (question 2156294102 never exported at source); cube emits 1 row with NULL subject/grade/session/section/question_no/type/points; 32 such rows on 10 items school-wide
7892346390,grade-10 standard on Grade-6 test,"Better Than Words... Selection Test (G6, 2nd Period): 1 question x 39 students tagged ELA.10.V.1.3 (grade-10 benchmark) instead of ELA.6.V.1.3; source-side Schoology alignment error; resolves in dim_standard so it renders as a G10 row in G6 standards reports"
7892346412,mojibake item name,Through an Animal?s Eyes Unit Test - curly apostrophe replaced by ?
7892346388,mojibake item name,"What?s so Funny, Mr. Scieszka? Selection Test"
7892346411,mojibake item name,Wild Animals Aren?t Pets / Let People Own Exotic Animals Selection Test
7892348531,mojibake item name,Not My Bones / from Fortune?s Bones Selection Test
7892349076,mojibake item name,Unit 4 Benchmark Test: Earth?s Resources (Almendinger)
7892349226,mojibake item name,Unit 4 Benchmark Test: Earth?s Resources (Reeder)
7892331279,OVERLAP-WINDOW note (rn1251-1500): 1-student fragment,"Animal Behaviors: Weekly Assessment: Week 2 (Small, ELA G3 2025-26): 1 student / 21 rows / 10 of 21 pts, single date 2026-03-12, vs 18-22 students on every sibling; labels coherent; likely partial source export - verify with sibling sweep agent"
